UMAP1,UMAP2
15.648063,-10.280635
15.670599,-10.277517
15.6896305,-10.278698
15.711503,-10.27948
15.736607,-10.284612
15.748395,-10.286325
15.776551,-10.295692
15.770509,-10.289627
15.804065,-10.309022
15.801797,-10.305644
15.8217125,-10.318244
15.837434,-10.331147
15.856106,-10.347645
15.86033,-10.351087
15.873228,-10.36514
15.875498,-10.368078
15.888027,-10.386505
15.894179,-10.40057
15.899689,-10.406605
15.898997,-10.408777
15.901137,-10.412111
15.904532,-10.431222
15.912039,-10.471454
15.911494,-10.467515
15.911444,-10.493637
15.9083,-10.52034
15.909514,-10.512581
15.900154,-10.55969
15.894453,-10.576285
15.8906355,-10.596384
15.887971,-10.60737
15.883408,-10.620096
15.8778925,-10.632209
15.860824,-10.66599
15.859401,-10.671917
15.851544,-10.682563
15.827975,-10.718884
15.815708,-10.734818
15.809121,-10.745325
15.788145,-10.7720995
15.763709,-10.798228
15.746647,-10.819777
15.741014,-10.823222
15.731319,-10.83103
15.68594,-10.87757
15.664158,-10.893276
15.623575,-10.928203
15.619201,-10.931771
15.579733,-10.964756
15.562605,-10.974115
15.51399,-11.013756
15.48974,-11.022875
15.4719305,-11.032037
15.446598,-11.049413
15.395321,-11.0813055
15.381015,-11.093189
15.302758,-11.140847
15.2951565,-11.141989
15.269635,-11.157381
15.227066,-11.181471
15.196735,-11.19856
15.125066,-11.23802
15.095459,-11.254219
15.067669,-11.267827
15.018896,-11.29335
14.939481,-11.333385
14.925974,-11.340776
14.879606,-11.363504
14.820741,-11.392005
14.814115,-11.397649
14.766356,-11.419108
14.727258,-11.437668
14.6532135,-11.473704
14.578891,-11.508166
14.497192,-11.549052
14.443269,-11.573289
14.437764,-11.575641
14.390754,-11.606609
14.340775,-11.619053
14.290434,-11.641555
14.266161,-11.653923
14.155154,-11.699886
14.097015,-11.72376
14.071916,-11.735244
14.013415,-11.756884
13.977672,-11.771627
13.983393,-11.772105
13.956473,-11.7789135
13.829928,-11.828687
13.729979,-11.864571
13.6744795,-11.884387
13.612023,-11.907507
13.527038,-11.9368725
13.451687,-11.961583
13.47924,-11.954741
13.402844,-11.979737
13.312287,-12.00948
13.245838,-12.028011
13.212627,-12.036514
13.169482,-12.047091
13.139865,-12.054701
13.071849,-12.073543
12.995862,-12.089957
13.000852,-12.088449
12.860762,-12.122153
12.8099575,-12.134355
12.7315035,-12.152151
12.65191,-12.171161
12.594624,-12.183008
12.51376,-12.200526
12.447601,-12.213103
12.432834,-12.215382
12.341352,-12.232267
12.239976,-12.250679
12.194152,-12.242507
12.124933,-12.271645
12.068514,-12.29224
11.962762,-12.303492
11.902776,-12.314777
11.881394,-12.319045
11.839602,-12.325973
11.770553,-12.335568
11.726684,-12.341657
11.696518,-12.346544
11.643718,-12.353053
11.551893,-12.3630705
11.475867,-12.372099
11.453226,-12.374582
11.404672,-12.378347
11.372595,-12.382016
11.2885685,-12.387402
11.246121,-12.388715
11.203619,-12.392398
11.124984,-12.394212
11.113254,-12.396746
11.086303,-12.395328
11.0276165,-12.3939
10.951741,-12.394426
10.890931,-12.3906765
10.8080225,-12.386029
10.776788,-12.383855
10.761975,-12.384351
10.730884,-12.38159
10.645106,-12.372326
10.596573,-12.366564
10.593514,-12.36508
10.486509,-12.348389
10.467662,-12.345788
10.402524,-12.333533
10.395088,-12.3326845
10.333952,-12.318789
10.287311,-12.30873
10.221975,-12.290457
10.196227,-12.28368
10.119793,-12.257776
10.084586,-12.24524
10.039454,-12.231989
10.009697,-12.214709
9.984042,-12.205012
9.922127,-12.177136
9.919092,-12.176578
9.889283,-12.167309
9.851935,-12.15129
9.810553,-12.124512
9.815999,-12.126441
9.778838,-12.102374
9.742282,-12.071522
9.726628,-12.060679
9.695916,-12.037275
9.680945,-12.03053
9.656738,-12.004561
9.636581,-11.985586
9.612731,-11.962465
9.58639,-11.937864
9.578167,-11.931021
9.577861,-11.9289665
9.54491,-11.889546
9.534541,-11.865376
9.513771,-11.836268
9.47854,-11.792502
9.494833,-11.791902
9.488546,-11.775691
9.488837,-11.770389
9.482537,-11.734094
9.479346,-11.721394
9.475942,-11.687538
9.473321,-11.684413
9.47183,-11.642445
9.471956,-11.624494
9.468497,-11.590331
9.477019,-11.554409
9.483871,-11.539676
9.485064,-11.526381
9.478727,-11.516319
9.476093,-11.517273
9.522278,-11.445304
9.521892,-11.441259
9.558673,-11.383425
9.595841,-11.336953
9.591403,-11.338272
9.630666,-11.283391
9.632319,-11.266372
9.649802,-11.259624
9.710398,-11.207403
9.699665,-11.213786
9.75512,-11.169273
9.777704,-11.148218
9.810681,-11.119839
9.881847,-11.079048
9.913349,-11.060682
9.937308,-11.043724
9.931119,-11.0454035
9.959747,-11.03114
9.97418,-11.028086
10.041342,-10.992005
10.103043,-10.963572
10.169221,-10.930356
10.236154,-10.9046545
10.257573,-10.896549
10.309583,-10.875253
10.35226,-10.852404
10.40381,-10.836129
10.42021,-10.830257
10.420758,-10.831074
10.541229,-10.801349
10.54042,-10.786916
10.620676,-10.760863
10.655006,-10.754646
10.731047,-10.730847
10.747826,-10.723681
10.838755,-10.705097
10.904413,-10.68778
10.931627,-10.681303
11.0041,-10.665168
11.058526,-10.645977
11.082311,-10.638426
11.144089,-10.620911
11.212745,-10.60297
11.313062,-10.570879
11.330391,-10.558105
11.358975,-10.550865
11.432315,-10.535089
11.504797,-10.51618
11.556256,-10.503614
11.569497,-10.500567
11.685094,-10.471769
11.709368,-10.466399
11.783725,-10.447263
11.846237,-10.446221
11.937895,-10.407572
11.952341,-10.397036
12.055965,-10.372335
12.10284,-10.357029
12.199424,-10.331319
12.203242,-10.327834
12.27636,-10.306786
12.399401,-10.266265
12.399128,-10.266239
12.5199175,-10.224043
12.604417,-10.194786
12.606785,-10.223894
12.690485,-10.160707
12.709164,-10.1554575
12.78962,-10.1242695
12.845172,-10.092323
12.919672,-10.053847
13.029942,-10.008183
13.035968,-9.9920635
13.081566,-9.979817
13.142797,-9.951029
13.241913,-9.905506
13.277056,-9.890726
13.353023,-9.862468
13.446205,-9.8301115
13.504593,-9.799425
13.569438,-9.77158
13.5830345,-9.77562
13.677242,-9.72291
13.692223,-9.712899
13.757281,-9.677319
13.790808,-9.665446
13.881954,-9.620268
13.964152,-9.584941
14.05664,-9.503021
14.115989,-9.529286
14.184793,-9.474481
14.228457,-9.448515
14.269097,-9.425265
14.337212,-9.397768
14.308628,-9.3398
14.460678,-9.305755
14.528339,-9.263877
14.619057,-9.23098
14.624552,-9.199226
14.6421585,-9.185614
14.688491,-9.15764
14.737064,-9.120507
14.762089,-9.107805
14.80512,-9.075134
14.886583,-9.015681
14.891363,-9.0102625
14.934264,-8.973342
14.963887,-8.954023
14.999009,-8.920374
15.068528,-8.858875
15.074883,-8.851977
15.138555,-8.790023
15.142693,-8.786769
15.155867,-8.771232
15.195572,-8.724238
15.191537,-8.733094
15.218312,-8.701084
15.240847,-8.66761
15.24935,-8.65436
15.26328,-8.6429
15.2735195,-8.6137705
15.284767,-8.58541
15.312238,-8.541983
15.327767,-8.512734
15.334332,-8.491773
15.336565,-8.484772
15.343552,-8.4609585
15.355763,-8.440087
15.353244,-8.417583
15.363385,-8.36955
15.348362,-8.38095
15.370418,-8.318738
15.371331,-8.311831
15.372238,-8.283927
15.373549,-8.292794
15.376373,-8.270038
15.367837,-8.23906
15.352982,-8.216534
15.352029,-8.206593
15.337197,-8.182358
15.333469,-8.179486
15.3344,-8.179161
15.319494,-8.165903
15.305278,-8.152118
15.291263,-8.142442
15.269065,-8.125522
15.243962,-8.107317
15.2282715,-8.097354
15.207681,-8.087256
15.173975,-8.071149
15.153599,-8.061924
15.127294,-8.053959
15.077653,-8.039474
15.043589,-8.02873
15.015134,-8.013004
14.989676,-8.018789
14.964037,-8.013047
14.921442,-8.007445
14.897363,-8.005428
14.86138,-8.002943
14.822866,-7.998244
14.781279,-7.9961
14.7666235,-7.9959183
14.761516,-7.994666
14.662735,-7.992129
14.629421,-7.994821
14.61569,-7.9942865
14.558992,-7.9983616
14.527624,-7.998632
14.4995165,-8.003895
14.463253,-8.00442
14.426248,-8.007158
14.356614,-8.016684
14.280864,-8.031777
14.236118,-8.0359335
14.1553135,-8.050749
14.134179,-8.053822
14.046953,-8.073094
13.979336,-8.085454
13.944449,-8.092815
13.860037,-8.110904
13.782722,-8.129997
13.797014,-8.125574
13.653028,-8.162932
13.587753,-8.180073
13.491979,-8.209957
13.4593935,-8.220561
13.456133,-8.222892
13.288326,-8.273455
13.217388,-8.289851
13.146741,-8.307382
13.076875,-8.32517
12.98992,-8.366037
12.986777,-8.359684
12.910373,-8.392032
12.847491,-8.417247
12.74926,-8.462872
12.7280035,-8.47663
12.6445265,-8.515933
12.546727,-8.570751
12.459214,-8.627202
12.411636,-8.642701
12.362642,-8.653926
12.305765,-8.699315
12.253457,-8.715698
12.176319,-8.787894
12.106299,-8.814747
12.049543,-8.886157
11.965724,-8.921609
11.858431,-9.0034685
11.865071,-8.995562
11.783208,-9.065528
11.7531,-9.085815
11.70737,-9.1265545
11.678052,-9.15371
11.607388,-9.210925
11.549539,-9.27595
11.525591,-9.282684
11.483643,-9.319055
11.432325,-9.3667555
11.379188,-9.411277
11.340818,-9.445561
11.30341,-9.478645
11.255164,-9.521888
11.243744,-9.532915
11.173073,-9.599542
11.140612,-9.629032
11.124681,-9.645111
11.047831,-9.717842
11.014411,-9.762844
10.999393,-9.773406
10.95747,-9.8121805
10.9511385,-9.819796
10.882989,-9.891452
10.827032,-9.894611
10.817276,-9.966839
10.801531,-9.990268
10.769632,-10.028798
10.7354555,-10.068914
10.69401,-10.144598
10.636367,-10.195822
10.609873,-10.228415
10.578934,-10.272222
10.548816,-10.307802
10.531423,-10.335775
10.495726,-10.384656
10.468857,-10.423501
10.471189,-10.4206085
10.450172,-10.448373
10.427548,-10.493345
10.421304,-10.503335
10.412459,-10.516975
10.391513,-10.558109
10.384055,-10.571539
10.366291,-10.607404
10.345195,-10.650292
10.336743,-10.66677
10.320725,-10.709089
10.300774,-10.750442
10.284845,-10.786431
10.280228,-10.796665
10.265604,-10.840759
10.260458,-10.861366
10.254933,-10.876558
10.246606,-10.911584
10.23783,-10.933833
10.217512,-10.988576
10.223968,-11.013568
10.217445,-11.052402
10.206312,-11.134421
10.202605,-11.160495
10.19982,-11.179147
10.196999,-11.214211
10.192053,-11.255611
10.229766,-11.228809
10.192638,-11.269393
10.192154,-11.318312
10.190099,-11.351616
10.187227,-11.370659
10.1899395,-11.385638
10.188299,-11.42787
10.193125,-11.422457
10.195948,-11.448463
10.208023,-11.482574
10.208696,-11.499683
10.221357,-11.518572
10.231916,-11.543081
10.244411,-11.571384
10.2501745,-11.587791
10.249146,-11.605281
10.257851,-11.60066
10.291311,-11.646961
10.305834,-11.664827
10.313326,-11.663238
10.3363,-11.702234
10.349458,-11.714854
10.364432,-11.729153
10.374312,-11.73539
10.423994,-11.763126
10.414578,-11.759893
10.449064,-11.7804985
10.453002,-11.781846
10.475603,-11.7921095
10.497333,-11.799092
10.505334,-11.803437
10.528301,-11.810137
10.5635605,-11.82109
10.581886,-11.826886
10.606125,-11.834332
10.6421175,-11.840405
10.679747,-11.848812
10.7234335,-11.851593
10.73073,-11.851343
10.769741,-11.851693
10.7669935,-11.855823
10.823225,-11.84699
10.834389,-11.848624
10.878845,-11.846188
10.897607,-11.842409
10.935354,-11.832804
10.955664,-11.82664
10.968274,-11.825043
10.991962,-11.811719
11.040687,-11.80342
11.06327,-11.7986145
11.103637,-11.783306
11.1437235,-11.768814
11.19255,-11.749875
11.194707,-11.749527
11.22334,-11.737743
11.2757845,-11.715962
11.315023,-11.701226
11.337081,-11.689841
11.377487,-11.672268
11.377498,-11.676973
11.412166,-11.65529
11.476474,-11.6264715
11.50298,-11.609432
11.532563,-11.59318
11.575735,-11.568554
11.570153,-11.57246
11.605447,-11.553366
11.618563,-11.543857
11.680336,-11.508855
11.686252,-11.501095
11.756474,-11.46466
11.825525,-11.408435
11.804967,-11.435151
11.840606,-11.413069
11.881659,-11.389017
11.926557,-11.3623295
11.9740095,-11.330064
11.9895525,-11.321198
11.97797,-11.327301
12.033139,-11.288858
12.033104,-11.29199
12.122797,-11.237648
12.14874,-11.223342
12.185745,-11.203913
12.208971,-11.183493
12.282629,-11.142078
12.309226,-11.126124
12.305614,-11.128424
12.403647,-11.074993
12.455495,-11.047752
12.467646,-11.032285
12.544619,-11.003498
12.586928,-10.975565
12.605072,-10.974167
12.688629,-10.936891
12.718506,-10.925709
12.748905,-10.91147
12.834641,-10.873839
12.839523,-10.869345
12.913117,-10.831902
12.929783,-10.826973
12.978009,-10.800141
13.026179,-10.774322
13.044614,-10.764631
13.135362,-10.718174
13.1602545,-10.698772
13.209775,-10.670329
13.255992,-10.645511
13.309595,-10.612245
13.33965,-10.593217
13.40212,-10.554014
13.461401,-10.520994
13.4641485,-10.514092
13.514453,-10.484095
13.559456,-10.445408
13.576736,-10.43101
13.642634,-10.382156
13.65779,-10.367501
13.710866,-10.321148
13.757913,-10.279461
13.841981,-10.206292
13.852329,-10.199522
13.8847685,-10.162591
13.936487,-10.111269
13.950395,-10.09282
14.017459,-10.022566
14.043649,-9.994938
14.073383,-9.960899
14.10094,-9.935703
14.138134,-9.889397
14.1930065,-9.815722
14.20505,-9.800301
14.242285,-9.756686
14.27263,-9.719892
14.306156,-9.675797
14.335971,-9.631959
14.362344,-9.598829
14.368715,-9.592188
14.394234,-9.554688
14.441079,-9.483485
14.461533,-9.435396
14.4876175,-9.402761
14.519958,-9.336618
14.549221,-9.280635
14.582875,-9.202701
14.585012,-9.185537
14.601111,-9.144887
14.608902,-9.117312
14.615763,-9.103524
14.627961,-9.035965
14.6305685,-9.003742
14.635179,-9.011036
14.649209,-8.939882
14.636397,-8.953423
14.631823,-8.894301
14.625653,-8.834041
14.620011,-8.803088
14.611737,-8.774746
14.600966,-8.724063
14.599453,-8.719572
14.582729,-8.679031
14.562878,-8.64583
14.545947,-8.615806
14.544802,-8.612806
14.53627,-8.605222
14.518091,-8.576161
14.483526,-8.53789
14.484941,-8.539408
14.469358,-8.518551
14.4299555,-8.491765
14.298399,-8.378725
14.392928,-8.462726
14.365181,-8.442604
14.33114,-8.421851
14.29039,-8.402017
14.251929,-8.380177
14.216263,-8.361996
14.175943,-8.346319
14.137361,-8.341998
14.146989,-8.334818
14.104655,-8.32468
14.055922,-8.309217
14.05207,-8.300703
13.972767,-8.317697
13.968117,-8.29827
13.927774,-8.277915
13.916311,-8.2664175
13.835256,-8.260566
13.818496,-8.252299
13.781165,-8.255296
13.681251,-8.238927
13.661852,-8.240599
13.551165,-8.230757
13.46808,-8.222485
13.38982,-8.2228155
13.382397,-8.220266
13.285306,-8.220047
13.248629,-8.220966
13.160122,-8.224276
13.139415,-8.221171
13.006865,-8.2271
12.98377,-8.224765
12.91975,-8.232414
12.847624,-8.257114
12.799125,-8.245283
12.733363,-8.25448
12.711749,-8.252702
12.627241,-8.272972
12.625292,-8.269221
12.584302,-8.27646
12.516263,-8.295142
12.49593,-8.295208
12.465036,-8.302953
12.408202,-8.334698
12.361373,-8.307924
12.285867,-8.348545
12.232578,-8.364407
12.204477,-8.369579
12.13593,-8.393985
12.118489,-8.394786
12.078066,-8.406752
12.04444,-8.419572
12.004478,-8.430271
11.944964,-8.465015
11.936812,-8.467328
11.871145,-8.491808
11.839558,-8.515797
11.801117,-8.522938
11.776268,-8.533892
11.708436,-8.565859
11.698501,-8.575393
11.640224,-8.6018505
11.616155,-8.611624
11.622857,-8.623705
11.569133,-8.633161
11.531527,-8.647734
11.4924,-8.667369
11.446362,-8.682046
11.360519,-8.721427
11.374992,-8.714368
11.344871,-8.751131
11.28996,-8.75777
11.242771,-8.786471
11.212659,-8.805904
11.167823,-8.833272
11.150167,-8.844682
11.072859,-8.893682
11.08258,-8.891401
11.034377,-8.920273
10.982013,-8.957954
10.941571,-8.98369
10.925889,-8.999398
10.893953,-9.015002
10.867681,-9.033044
10.849821,-9.046588
10.790788,-9.08557
10.749215,-9.125202
10.734532,-9.126228
10.694466,-9.146889
10.68005,-9.155621
10.664468,-9.165508
10.6108675,-9.200357
10.620699,-9.194655
10.5811205,-9.218151
10.524545,-9.255836
10.502053,-9.273013
10.47659,-9.293269
10.459646,-9.307828
10.466291,-9.317825
10.414611,-9.344994
10.383428,-9.368543
10.375787,-9.374544
10.336268,-9.407558
10.326621,-9.414343
10.305861,-9.43598
10.28256,-9.449562
10.246911,-9.490367
10.245611,-9.490304
10.220231,-9.515807
10.203105,-9.531698
10.200725,-9.537464
10.209571,-9.532015
10.177166,-9.563937
10.160126,-9.588863
10.1631,-9.585776
10.137053,-9.634545
10.141853,-9.630389
10.135666,-9.64633
10.132295,-9.660684
10.130727,-9.66067
10.093273,-9.716222
10.128381,-9.694571
10.130049,-9.708586
10.129924,-9.713607
10.130721,-9.725015
10.134962,-9.737807
10.148568,-9.77085
10.164092,-9.80025
10.16303,-9.800599
10.180537,-9.822477
10.146349,-9.790297
10.190516,-9.83434
10.208816,-9.852554
10.225464,-9.867072
10.2255335,-9.868202
10.2502,-9.886932
10.256325,-9.894914
10.271467,-9.900692
10.278708,-9.906845
10.303676,-9.919907
10.285324,-9.911479
10.337262,-9.935127
10.348253,-9.939498
10.368322,-9.949744
10.397247,-9.960979
10.402967,-9.962711
10.432062,-9.973028
10.45057,-9.978097
10.458586,-9.98155
10.49902,-9.992007
10.519466,-9.99739
10.550931,-10.004457
10.595437,-10.019069
10.600972,-10.015055
10.639691,-10.017787
10.653049,-10.018626
10.649984,-10.0203
10.733977,-10.021488
10.755745,-10.021512
10.783537,-10.023097
10.863908,-10.021409
10.897019,-10.026711
10.918169,-10.029059
10.964115,-10.033291
10.978565,-10.032524
10.989085,-10.033888
11.036904,-10.038398
11.057567,-10.037082
11.10143,-10.044644
11.138574,-10.05021
11.169119,-10.049551
11.22105,-10.053705
11.259558,-10.055473
11.276219,-10.0585575
11.306038,-10.063618
11.326481,-10.060445
11.38088,-10.064232
11.411136,-10.065611
11.430607,-10.066909
11.439035,-10.06464
11.473371,-10.067515
11.495642,-10.068105
11.536334,-10.066436
11.5259285,-10.066337
11.557887,-10.064368
11.587984,-10.064209
11.65976,-10.0560465
11.648155,-10.051006
11.674542,-10.0511465
11.687798,-10.050701
11.696104,-10.047393
11.732702,-10.042544
11.776019,-10.0412655
11.785919,-10.034976
11.833522,-10.027735
11.870609,-10.02172
11.913769,-10.01423
11.919942,-10.012101
11.948257,-10.027695
11.970777,-10.0013895
11.988676,-9.998333
12.026827,-9.987621
12.018131,-9.995992
12.0857,-9.967352
12.092923,-9.968641
12.121405,-9.95863
12.154289,-9.94348
12.1925535,-9.926794
12.231026,-9.916398
12.250835,-9.9000845
12.283571,-9.882564
12.316051,-9.864919
12.387247,-9.826744
12.415762,-9.783795
12.4581995,-9.790683
12.478522,-9.775438
12.515006,-9.763663
12.5632105,-9.74067
12.58147,-9.725412
12.609699,-9.705138
12.692935,-9.654034
12.647243,-9.682113
12.704937,-9.644156
12.72646,-9.632137
12.77064,-9.60831
12.786482,-9.607251
12.826674,-9.566797
12.835474,-9.564936
12.852128,-9.55394
12.874822,-9.538029
12.908137,-9.5180025
12.931554,-9.507703
12.936404,-9.5014715
12.95237,-9.486302
12.974832,-9.486849
13.011235,-9.459607
13.048399,-9.4396515
13.018234,-9.459133
13.059543,-9.427326
13.09868,-9.410954
13.134744,-9.383965
13.149013,-9.370248
13.208117,-9.325804
13.207139,-9.331314
13.2214155,-9.317902
13.24843,-9.288064
13.273432,-9.281361
13.306826,-9.253642
13.324886,-9.24109
13.311265,-9.247846
13.381049,-9.19964
13.413145,-9.190751
13.42333,-9.178414
13.459855,-9.159669
13.484289,-9.146025
13.496251,-9.147875
13.513125,-9.130021
13.544449,-9.113903
13.573226,-9.093182
13.571629,-9.095395
13.621485,-9.076963
13.637409,-9.070487
13.647799,-9.068474
13.674808,-9.056815
13.694069,-9.048046
13.71197,-9.044839
13.747919,-9.031326
13.767139,-9.029015
13.786973,-9.021422
13.808357,-9.016054
13.811607,-9.015772
13.837344,-9.011992
13.8481,-9.012024
13.876642,-9.010554
13.887291,-9.012778
13.904327,-9.014412
13.930452,-9.0103245
13.953826,-9.010741
13.968526,-9.010169
13.991611,-9.011204
14.001013,-9.008442
14.032404,-9.001316
14.029446,-9.0046625
14.054535,-9.00059
14.071597,-8.998403
14.065621,-9.00191
14.073621,-8.984253
14.123716,-9.016105
14.124859,-9.009488
14.156336,-9.019768
14.141259,-8.991646
14.20617,-9.039514
14.233411,-9.06256
14.254132,-9.074243
14.273057,-9.086508
14.282053,-9.09592
14.296427,-9.106211
14.304734,-9.106086
14.314083,-9.128744
14.332469,-9.153765
14.3436165,-9.1719475
14.348278,-9.17778
14.371296,-9.210447
14.383396,-9.226972
14.402388,-9.254525
14.400552,-9.256353
14.413716,-9.281377
14.400657,-9.32923
14.465207,-9.3701315
14.448622,-9.359356
14.453155,-9.3693285
14.466847,-9.401915
14.466074,-9.403822
14.477203,-9.43621
14.486349,-9.476619
14.496098,-9.4741125
14.479281,-9.501579
14.486681,-9.497829
14.487877,-9.522973
14.4876795,-9.540321
14.493286,-9.555901
14.476268,-9.598769
14.471023,-9.608692
14.468642,-9.6353855
14.45915,-9.65857
14.449784,-9.717684
14.43958,-9.703225
14.431026,-9.7175455
14.432043,-9.7484865
14.399613,-9.748077
14.3858595,-9.759744
14.370845,-9.772526
14.346618,-9.7932415
14.352134,-9.790388
14.317583,-9.812819
14.315271,-9.814423
14.270658,-9.848385
14.2795725,-9.834756
14.2199,-9.878146
14.202444,-9.884156
14.1579685,-9.913684
14.14557,-9.928013
